text,themes
"Здравствуйте, подскажите, у кого можно купить юсдт за наличные?",['general']
"Извините пожалуйста,я об этом забыла.Если Вы можете,повторите пожалуйста. Спасибо",['general']
"Ні, взагалі.",['general']
"Привіт, можете показати список?
Не бачу просто зверху",['general']
Ребенка прикрепляют к страховке взрослого. Когда делали себе страховку нужно было указать ребенка .,['general']
"Вам в личные невозможно сбросить ссылку,у вас вход только для избранных",['general']
Нет. Вам вверху список принимающих земель сбросили,['general']
"Автобусні квитки до 🇩🇪 Німеччини, 
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
А чому тоді саме Німеччина? Просто цікаво. Можете відповісти п/п?,['general']
"Добрий день, чи можу я запросити в Німеччині просто захист (дозвіл на проживання) маю місце для проживання та маю онлайн роботу. Не потребую jobseekers 
Перший раз планую їхати в Німеччину, але був захист в Ірландії","['housing', 'work', 'documents']"
Доброго ранку. Підкажіть як правильно заповнити форму на звільнення від телерадіомовлення?,['general']
Доброго дня.Можна будь ласка і мені .Дякую,['general']
Земля Тюрингии принімає???,['general']
"В Баварії недобір ,є багато місць знайдіть табір там і їдьте",['general']
"Так, ви маєте самостійно приїхати в лагер. Адреси на сайті uahelp wiki.",['general']
"Усім привіт, підкажіть будь-ласка чи можливо отримати у Німеччині зараз хоч якесь житло? Учора мій будинок у Херсоні був зруйнований і більше нема де жити. Якщо приїду в Німеччину мене там десь посілять?",['housing']
"Доброго ранку, Mariana!",['general']
Дякую вам,['general']
"Де були, в нас сьогодні відправили дівчину з табору ,туди де вже була приписана.",['general']
"Доброго дня,якщо хтось не знає як обміняти чи відновити своє українське посвідчення водія,можу просто так підказати як це через дію зробити",['general']
"Друзі,підскажіть чи є онлайн адвокат?",['general']
Другий раз їхати до Німеччини приймуть? Куди їхати в лагерь чи в той город де були????,['adaptation']
"Вітаю) підкажіть, будь ласка, як оформити медичну страховку для дитини?",['general']
"Добрий вечір!
Шукаємо квартиру в Дюсельдорфі або поблизу
1-2 кімнатна, під Джобцентр",['general']
"‼️‼️‼️Слава Україні 🇺🇦🇺🇦🇺🇦 Героям Слава💙💛🙏🙏🙏‼️‼️‼️
Велика прохання підписати петицію за Тиліпського Віталія Романовича котрий став на захист своєї Рідної землі-своєї Батьківщини України, в лавах 155-тої окремої механізованої бригади імені Анни Київської -  з'єднання Сухопутних військ Збройних сил України у складі в/ч А5001.
У пекельному бою за Україну , виявивши стійкість та мужність загинув 12 грудня 2024 року , у зоні бойових дій у напрямку Донецької області, Покровського району, населений пункт Шевченко.
Залишилась Любима Донечка, котра заслуговує знати ,що її Батько загинув героєм . Велика прохання підписати петицію в посиланні : https://petition.president.gov.ua/petition/244682‼️‼️‼️🇺🇦🇺🇦🇺🇦",['general']
Проверяют. Я летал в Сардинию. И тоже наземные транспорта проверяют.,['general']
чим ?  тим що треба піти в аптеку і замовить ліки ? а не шукати сайти з непонянтно чим,['general']
Це ви тільки що вирішили похизуватись своїми вміннями обманювати літніх і хворих людей?),['general']
нашо кудись іхати за ліками як тут іх привозять в ту аптеку де ви їх замовили,['general']
"при прильоті назад вас зустріне поліція і попросить показати документ на право перебування тут , шанс що то буде  99%",['documents']
"Не пишіть, людоньки, такі повідомлення сюди. Одразу набіжить стая дурачків які втюхують свої ""послуги""))0",['housing']
"Можна запитати в найближчій аптеці. Якщо в них нема, вони можуть заказати і скажуть, коли прийти забрати. Або скажуть,  в якій аптеці є ці ліки",['general']
Авіа - мене ніколи не перевіряли і за останній рік - бачив один раз щоб стояли поліція на виході - чи перевіряли когось хз але думаю вибірково,['general']
Вы про наземное пересечение или знаете случае при перелётах?,['general']
"Не путайте причинно следственную связь. Аллегория про принтер возникла ПОСЛЕ оформления,на основе опыта общения с ними. Млжеттв вашем городе не так( судя по тому,что вы ошарашены таким сравнением,у вас не такие немцы) - Германия ж разная. Но в моем городе везде так,во всех учреждениях,когда им задаешь вопрос ,состоящий из двух и более частей,они цепляются за первую часть,отвечают на нее и дальше тебя перебивают и не дают продолжить. Блин,жиза. Я глворю - окей,это я уже понял,теперь вторая часть вопроса,отвисни наконец,ты,как сломаный GPS,продолжаешь повторять одно и тоже,даже после того,как мы уже прлехали и повернули в другую сторону.",['adaptation']
В середині ЄС майже не перевіряють. Вибірково і дуже рідко,['general']
"У меня просрочен Fiktionsbescheinigung в и всё еще нет пластика, тянут, очень сильно тянут и пока нет ни официального отказа, ни документа о том, что мой статус всё ещё на рассмотрении. Планирую вылететь из Меммингена на Кипр (ЕС). Могут ли у меня возникнуть проблемы при вылете в аэропорту Германии или при въезде на Кипр? Проверяют ли авиакомпании и кипрские пограничники статус пребывания в ЕС? Буду благодарен за информацию от тех, кто сталкивался с подобной ситуацией в 2024-2025 году.",['documents']
Гугл точно знає.  Rechtsanwalt на мапі і обирайте,['general']
"Як студентка України, що проходить закордонну практику в Німеччині, тобто працюю",['general']
Нічого не зрозуміло. Так ви студент або працюєте? На якій підставі ви зараз в Німеччині?,['general']
"Добрый вечер,где можно купить в- Heidenheim ,преобразователь из 110 на 220 ,возможно у кого то есть дома не нужный?",['housing']
"Шукаю квартиру для одної людини під оплату від Джобцентра в Дюсельдорф, Ессен, Дортмунд.",['general']
Всім привіт хочу запитати чи хтось знає Адвоката в районі Уперталь чи Дюсельдорф терміново потрібний дякую.,['general']
"Північний Рейн-Вестфалія - федеральна земля з найбільшим населенням. І окремі регіони дуже відрізняються один від одного. 

А ще є багаті та бідні райони. І регіони, де житло дуже дефіцитне і дуже дороге.",['general']
"Добрий вечір! А в німеччині є сайти аптек де показуються наявні ліки, чи треба самому дзвонити по аптекам і дізнаватись?",['general']
"Доброго вечора, хотів б запитати можливо хтось мав схожу ситуацію я хотів поїхати на канікули в Україну ,джобцентр відпустив, а куратор каже що мені не можна нікуди їхати,бо я не повнолітній,а довіреність на мого рідного брата йому 21 і він зі мною не може виїхати чи є якись вихід з цієї ситуації?
Буду дуже вдячний",['general']
"Доброго вечора,може хтось в курсі, якщо закрити захист в Ірландії,чи приймуть потім в Німеччині і які потрібно документи?",['documents']
"Доброго дня, може хтось поїде з гесен до Варшави?",['general']
"Автобусні квитки до 🇩🇪 Німеччини, 
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
"Входить в трійку найбагатших земель, чисельність населення сама велика",['general']
ваша невіра - мені комплімент. самовчення української - це просто мій улюблений спосіб для марнування часу. Але я дуже часто шельмую дивлючись словнику.,['general']
"Доброго дня, можливо хтось може допомогти, я зараз працюю як студент в Німеччині, хочу паралельно отримати пар. 24, чи можу я в статусі студенки на практиці податись на параграф, і інше питання, якщо я подамся на параграф, але рішення з міграційки не прийде до 90 днів, чи можу я пересидіти цей термін?",['general']
Добрый вечер. Может кто-то здает квартиру в Бремени под Джоб центр. 3-4 комнатную.,['general']
"Может ли человек, находящийся в Германии больше 90 дней в ожидании параграфа, уехать из страны без негативных последствий за превышение 90 дней?",['general']
"Подивіться чим в регіоні можна зайнятись, клімат, географію. Всі землі в чомусь кращі.",['general']
"Ви хочете адаптуватися до життя в німецькомовній чи англомовній країні, але Вам важко, бо не знаєте мови цих країн? Вашим дітям потрібен репетитор англійської чи німецької, який би пояснював матеріал рідною мовою? Я готова Вам допомогти з навчанням з початкового рівня. Готую також до НМТ та до екзамену до магістратури. Пишіть, немає важких задач, коли є мета і надійний помічник поруч.",['general']
Добрый вечер подскажите пожалуйста у меня ребенок родился в Германии у меня параграф 24 а у сына 33 какая разница,['general']
"Ну якщо ви розмовляєте на український то обоє або хтось один з батьків українці і ви народились тут або ви отримали громадянство вже коли сюди приїхали. Те що ви вивчили українську в школі, університеті чи на курсах я вірю слабо.",['general']
"так я розумію, але регіон Nordrhein-Westfalen здається найкращій чи один з кращіх",['general']
"Бохум це розподільчий центр, Ви там не залишаєтеся жити. Вас відправлять в будь який табір по всій землі",['general']
Який кращій варіант табору? Бохум кажуть непоганий,['general']
§ 23 VwVfG,['general']
"Юґендамт є твоїм опікуном, три роки прив'язка міграційної.
17-летний подросток без опекуна находится под защитой Jugendamt.
 * Джобцентр может участвовать в процессе, но решения принимаются с учетом интересов несовершеннолетнего.
 * Важно, чтобы подросток обратился в Jugendamt для получения необходимой помощи и поддержки.",['general']
"Доброго дня. Потрібна консультація юриста, або людини яка може допомогти вирішити питання зі страховкою",['general']
ДЯКУЮ ВАМ ВЕЛИЧЕЗНЕ!!!,['general']
"KDU + назва міста німецькою, гугл",['general']
"Доброго дня
Підкажіть будь ласка скільки джобцентр готовий платити за квартиру за одну людину?? В тюрингії",['general']
"Добрий вечір шановні українці! 
Напишіть мені будь ласка чи стикався хтось з перевізником (Німеччина- Україна) « Валентин Сидоренко» (водій)? Чи все було добре? Тому що сталася неприємна ситуація та мені не хочуть повертати гроші за квиток. Поділіться своїм досвідом. 
Заздалегідь велике дякую 😌","['housing', 'adaptation', 'finances']"
"Доброго вечора усім 
Підкажіть хтось будь ласка 
Мені 17 років я знаходжу сам у Німеччині вже 3 місяця мене спочатку відправили в Карлсруе в гуртожиток для неповнолітніх 

3 дня тому мене відправили у Мильтерберг кажуть що я довжен тут прожити 3 роки 

Але поки мене не прописали тут я можу поїхати в інше місто 
 
Я так розумію там де я зараз знаходжусь це Югентап 

Хто може більше розповісти про Джоп центр та чи можу я туди піти",['adaptation']
"Доброго дня. Підкажіть будь ласка. Потрібен нотаріус, щоб зробити довіреність. Дортмунд",['general']
"А, можливо так",['general']
Бо Тюрінгія саме в ці 2 землі розподіляє.,['general']
"Це мені сказали в центрі Тюрінгії — мене не приймуть, а будуть відправляти мої дані в ті 2 землі. Я в інтернеті дивився що повинно бути більше вільних земель...",['general']
"Не мала таких проблем взагалі, що в ДЦ, що в банку всі розмовляли англійською і все було ок",['finances']
"Спочатку спілкувалась всюди, і в державних установах також,  англійською  і ніяких проблем не було.",['general']
"Добрый день, живу в Кёльне, ищу работу, есть автомобиль. Готов к разным типам задач, если есть предложения - пишите в личные сообщения. Онлайн заработок от 10.000€ не выходя из дома не интересует.",['housing']
"Красный крест есть продают бу вещи, так же C&k, Primark",['general']
"Як це тільки дві. Як мінімум, ще Північний Рейн-Вестфалія та Рейнланд-Пфальц приймають 100%.",['general']
Боже пусто напишут в миграционную и им скажут точно.Но на своем опыте знаю что если закрыт город я могла поехать только когда сама могла себя обеспечить и детей,['adaptation']
Коли чоловік працює то доплата від держави буде на сім'ю мінімальна. Це може бути 200 євро. Може 300. Но це як виключення. Зазвичай зарплати чоловіка на Vollzeit достатньо.,['general']
Доїхав до центру регистрації. Приймають тільки 2 землі — Баварія та Саксонія. Тюрінгія точно не приймає,['general']
Да но не содержание от государства если город закрыт значит денег нет.,['adaptation']
"Воз'єднання сім'ї працює в кожній землі і не важливо чи приймає ця земля біженців на загальній основі. 
Це називається гуманність.",['general']
"Если та земля закрыта и город,то доплачивать не будут.Что бы туда попасть нужно что бы мог он содержать семью и нужды",['adaptation']
"Автобусні квитки з 🇺🇦України до країн ЄС 🇪🇺та навпаки: 
зручне бронювання місця та великий вибір напрямків руху.
🚌 Пропонуємо рейси офіційних перевізників, що виконуються великими автобусами для міжнародних сполучень.
✅ З можливістю безкоштовного бронювання або онлайн оплати квитка.
Різноманітні маршрути:
🇵🇱 Польща, 🇩🇪 Німеччина, 🇨🇿 Чехія, 
🇮🇹 Італія, 🇪🇸 Іспанія, 🇦🇹 Австрія, 🇫🇷Франція, 🇳🇱Нідерланди, 
🇧🇪Бельгія, 🇪🇪Естонія та інші.
Щоб зарезервувати місце  
або 
отримати інформацію щодо рейсу:
📲 телефонуйте/пишіть
+380733000200
📩 звертайтеся у месенджер або дірект
🚌 ContraBus - обери свій маршрут!",['general']
"Вас зможуть там залишити але все забезпечення має бути за гроші вашого чоловіка. Йому одразу треба мати квартиру площа якої відповідає вимогам для життя трьох осіб. 
Якщо він заробляє замало на трьох .. то з часом йому будуть доплачувати ..",['finances']
Гёрлиц,['general']
"Добрый день, ищу хорошего косметолога, в лс",['general']
"Добрий день!
Хтось їздив з Deutsch Tiket в Швейцарію (Базель)? Без проблем перетинали кордон? Чи перевіряють документи на кордоні?",['documents']
"Скажіть,будь ласка, може в когось була схожа ситуація. Чоловіка беруть,точніше вже оформили, на роботу по параграфу 24. Був вже в міграційній, прописка вже є. Контракт починається з 1 травня. Він зараз живе на кемпі для робітників, мене з дитиною забрати він туди не може. Я тимчасово знаходжуся у іншій країні( у рідних).Та земля, де зараз чоловік, біженців вже не приймає! Питання: якщо ми поїдемо на цю землю, нас можуть залишити на ній, з чоловіком чи ні? Ну, якесь тимчасове житло можуть надати, на пару місяців?! Поки ми не знайдемо квартиру. Чи і в такому випадку можуть відправити зовсім в іншу сторону?!",['general']
"Доброго дня, чи можете мені також скинути групу. Дякую",['general']
Маєте контакти?,['general']
Я вам сбросила ссылку на группу для людей с инвалидностью,['general']
"А те що я вчора за мінусом-61 притиснула карту, так і повинно ?і все одно списали начальну суму, нічого?",['general']
Гроші не моментально приходять,['finances']
"але так, зараз я іноземець під іноземцями 😁",['general']
"Добрий день! можливо хтось знає психіатрів в Німеччині,які володіють українською,російською, англійською? 
буду дуже вдячна 🙏🏼",['general']
я не іноземець,['general']
Ну ви теж серед цього стада іноземців в німеччині.,['general']
"Ви хоч раз чули канадську українську, там від української залишилась одна назва, неймовірна кількість англицизмів і там ще треба гарно знати англійську щоб зрозуміти ту українську.",['general']
"Помогите пожалуйста. Делала возврат вещей, сумму вычли за минусом, то есть -61 и я приложила карту. Смотрю на баланс а возврата нет, только- сумма за минусом которая была изначально 82",['general']
майстерhax0r,['general']
Вы все укропы да,['general']
Це для того що б люди знали свою мову і культуру. Як в Канаді наприклад. Там досить компактно проживають наші. Хоча виїхали більше 100 років тому. І ліпше знають українську ніж деякі які все життя в Україні..,['general']
базовано та краснопіловано,['general']
"дві люди вже ригали на моєму тексті. Meine Güte, manche haben auch echt eine kurze Zündschnur hier.",['general']
В Німеччині треба відкривати вже українські школи,['general']
"Die ukrainischen Polizisten und Grenzhüter, die sich bis jetzt von mir auf Englisch vollquasseln lassen mussten, verdienen auch nicht ansatzweise das, was ein DE-Beamter für den Bruchteil der Leistung geschenkt bekommt.",['general']
"Ні, ви непорозуміли мене. я ображав їх, які розрекламували ідею мультикультуралізму на німецькій раді, але не знають реальностей своїх апаратів.

Українці не монопольне стадо іноземців у німеччині 😉",['adaptation']
На перший час достатньо буде,['general']
Українську не всі знають хоча там більше мільйона українців. А ви про англійську. Поширена німецька. Тому треба вчити,['general']
Будь ласка підкажіть російськомовного подолога,['general']
В Україні чомусь лікарі та листоноші теж англійською не спілкуються. Що робитимемо? Теж гівнюками обізвемо?,['general']
"Вопрос к тем кто пользуется этим приложением Джопцентр онлайн,подскажите как вы отправляете файлы ?Можно видео ?Спасибо",['general']
"дякую за відповідь. їм треба «Arsch hochbekommen». лепетають про «культуру гостинності» 10 років, але не можуть смусити працівники вивчитися мову як англійську, яка не потребує відмінків, осіб, видів та родів 😭",['general']
"не знаю, за весь час тільки бератор в ДЦ і 1 лікар не спілкувався англ. і довелось до нього ходити на прийом з перекладачем. зазвичай кажуть, що розмовляють але паганенько, а на ділі впевнений середній рівень англ. 
але так, треба підходити і ввічливо запитати чи спілкується людина англійською, а не з порогу навалювати.",['general']
"Доброго дня, чи хтось їздив в останні місяці в Україну, які зараз правила перетину кордону? Чи нормально пропускають на польському кордоні якщо є тимчасовий німецький захист ?",['general']
"Всі працівники спілкуються німецькою. Англійською одиниці можуть з вами контактувати, за їхнім бажанням - не Вашим. Якщо щось спробуєте вимагати чи стояти на своєму - готуйтесь що перестануть розуміти вашу англійську 😀",['general']
"Привет 
Кто может сделать Логотип ?",['general']
"Приветствую!
Ищем специалистов, готовых к релокации в Анталию на позицию:

☑️ lТ специалист/Help desk 
Требования:
Опыт работы не менее 1 года в аналогичной позиции


☑️ Казначей
Требования:
Опыт работы в аналогичной должности с международными банками не менее года 

☑️ Бухгалтер по расчету заработной платы
Требования:
Опыт от 1 года на позиции экономиста/бухгалтера


💼 Работа в офисе Антальи 
🕰 5/2 с 09:00-18:00
💰Оплата в долларах 

🙌Присылайте ваши резюме @osuhareva","['work', 'finances']"
"Доброго дня. Підкажіть будь ласка групу для людей з інвалідністю. Маю питання, потрібна допомога.",['general']
"як справи тих, які живуть у німеччині, але тільки знають англійську? чи можить говорити з бюрократами або мусять нести вказання як «скажіть державною мовою.» в установах?",['general']
"ну так, це був жарт слів 😄",['general']
"Добрый день.Ищу квартиру для одного.Франкфурт,Ханау,Оффенбах",['general']
"Взагалі то дівчина якраз і говорила, що зі знанням англійської мови є багато країн де можна краще влаштуватись. Але приїжджають в німеччину, жаліються, що вивчити мову складно, а з однією англійською влаштуватись десь важко, що потім без знання мови не беруть на нормальну роботу і не дають стартову зарплату в 5 тис.",['general']
"В таборі не обов'язково, якщо є можливість можна у друзів, в готелі, на квартиру піти, якщо є подушка фін.. У нас так вийшло. Але я так розумію, краще проконсультуватися з волонтерами при таборі. Щоб все оформити, потрібна допомога.",['general']
"А де зараз рівень життя? Судячи по останнім новинам увесь світ котиться к чортям собачим. Йде переділ світу і де буде краще зараз прогнозувати взагалі неможна. Якщо буде світова війна,то буде піздець практично усюди. Куди бігти? Ну,може в Австралію,але туди потрапити дуже важко,зараз практично нереально,якщо тільки родичі є.",['general']
"nach Bezug.
Не плутайте мух з котлетами.",['general']
"Доброго дня.Підкажіть будь ласка переверіний готель в місті Кольн,треба зупинитися на 1 ніч з дитиною і бажано недалеко від ДП документ Кольна. Попередньо дякую,всім гарного дня.",['documents']
"Добрый день. Кто-нибудь знает, есть ли в ещё Берлине магазины с вещами по низким ценам или склады с бесплатными вещами?",['general']
"Ви зобов’язані проживати за місцем реєстрації. Якщо маєте місце реєстрації - там і житимете. Якщо ні - уряд Вам знайде місце. Що це буде - покинута школа, чи вагони, чи старі солдатські будинки як в Гютерсло, чи старі будівлі, орендовані муніципалітетом - ніхто не знає. Розподілення - рандомайзер. Де є - туди й відправлять реєструватись і жити. 
Примітка. Закон каже, що ви можете до півроку «гостювати» в когось, тобто не знаходитись за місцем реєстрації 😉",['housing']
"в лагерь едут до получения параграфа те кому негде жить. Если у вас есть жилье и вы не претендуете на пособие, то можно искать на всех землях. если претендуете, то только на тех что открыты на прием беженцев",['general']
Дякую... окей . тоді такк ще питання...якщо мені дадуть параграф 24 це означатиме що мені обов'язково потрібно буде в лагері біженців перебувати..чи це не обов'язково?,['general']
"Ніхто краще за міграційку ваш кейс не проаналізує. Варто податись - а там видно буде. Навіть якщо відміна - час до цієї відміни ви йтимете під законом про Азюль - тобто, маєте знаходитись в межах крайса до відповіді від міграційкі, і отримуватимете гроші на життя. Тільки по азюль а не бюргергельд (на 150€ менше).
Не бійтесь, голим босим німеччина Вас не залишить.",['finances']
"зачем вы снова пишете тот же вопрос, я вам уже на него ответила, 100% ответ даст только миграционный сотрудник исходя из ваших документов",['documents']
"Підкажіть будь ласка з питанням: Я на момент початку війни перебував закордоном (виїхав за місяць до війни) чи маю я ПРАВО  на отримана параграфу 24 в Німеччині??
Бо одні кажуть не можу.. інші кажуть можна що там відбулися зміни у законі",['general']
"Приветствую!
Ищем специалистов, готовых к релокации в Анталию на позицию:
 
 ☑️Б**изнес-ассистента** (для менеджера отдела оптимизации процессов).
 
🟢 **Требования:**
🟢Свободное владение языками, как русским так и английским (не ниже В2 обязательно!);
🟢Уверенный уровень пользователя Эксель (сводные таблицы, анализ и т.д);
🟢аналитический склад ума, умение работать с информацией, внимательность к деталям;
🟢Умение пользоваться иностранными источниками, осуществлять research и составлять ревью по его итогам;
🟢Готовность к командировкам в т.ч. международным (отсутствие каких-либо миграционных варнингов и штрахов);
 
🟢** Условия:**
🟢Комфортное рабочее место в Турции, Анталия;
🟢Релокационная и визовая поддержка;
🟢Широкий пакет компенсаций и льгот;
🟢Корпоративное обучение;
🟢Возможность стать частью многонациональной команды профессионалов и участвовать в крутых корпоративных событиях.


☑️ **Специалист по покупке и продаже морского флота **
**
**🟢**Требования:**
- Можно без опыта;
- Отличный уровень владения английским языком (не ниже уровня С1)
- Высшее образование в морской/юридической сфере;
**
**🟢**Основные обязанности/функционал:**
- Взаимодействие (письменное и устное) с поставщиками и клиентами в процессе покупки и продажи судов;
- Ведение переговоров с партнерами и клиентами (в том числе на английском языке);
- Ведение сделок по покупкам и продажам судов;
- Привлечение смежных подразделений к подготовке сделок;
- Подготовка всей необходимой документации по сделкам;
- Организация процесса оценки судов;
- Выполнение точечных поручений руководителя отдела.

💁🏻‍♀️ Работа в офисе  Анталия / Тбилиси / Баку  
💵  ЗП: обсудим на интервью
💬 Знание языков – русский и английский
📱 Для быстрой связи: 
ТГ @IK_FPD
WhatsApp +44 7473692964
кандидатов без резюме не рассматриваем❗️","['work', 'adaptation', 'documents']"
"та какой уровень жизни, люди едут за 563 евро пособия плюс оплата квартиры, и сидят ничего не делают, многие таких денег в жизни не видели и не получали.",['general']
"У великих містах складнощі з житлом, дорого. Хоча у Лейбцигу норм. Але тут  табору немає. На Захід Німеччини можна, там робота теж є і інфраструктура. Місто краще невелике як на мене, потяги швидкісні, відстані непомітні.","['work', 'adaptation']"
А скільки років ви вже живите у Німеччині?,['general']
"Вітаю!
Можливо є хтось у гупі ,хто виїжджав на короткий термін в Україну,і повертався з  просроченим пластіком (до березня 2025 р)чи не було якихось нюансів на митниці.
Дякую .",['general']
"Тут підхід як з оплатою комуналки: 1 або 2 рази на рік йде перерахунок, щоб порівняти ваш теоретичний прибуток з фактичним. Виходячи з цього або щось буде повернути (якщо дуже гарна зарплата була) або навпаки.","['work', 'finances']"
"Тоді чому вони тоді виплати погодили, і сестра з мамою минулого місяця знову переподала на виплати і їх знову ж таки погодили",['general']
Звичайно що можуть,['general']
"Що значить не віддасть назад? Якщо не змінити на робочий, студенський , чи вийти заміж, то після війни 24 параграф закінчиться і легальність перебування теж. Як і в будь якій іншій країні. З робочими візами нікого примусово ніхто повертати не буде. Ну і наїхало 1,5 млн бо тут платять гроші за все підряд","['documents', 'finances']"
"Добрий день, таке питання. Я живу з мамою та сестрою в одній квартирі. Вийшов на роботу у жовтні минулого року. Прийшли перерахунки з джобцентру, в яких писало, що тепер виплати буде получати тільки мама та сестра і за квартиру я буду оплачувати 1/3. Сьогодні прийшов лист, щоб я подав виписки з банку та виписки про зарплату за кожен місяць від жовтня, бо вони хочуть знову перерахувати чи маємо або чи мали ми право на виплати. Може бути таке що заставлять повертати кошти чи щось гірше? Дякую",['finances']
А німеччнина єдина німецькомовна?,['general']
А що я не так сказав?,['general']
Не все знают английский😂мы ехали потому что дети учили в школе Украины немецкий язык,['adaptation']
"Автобусні квитки до 🇩🇪 Німеччини
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
Вище було посилання що можна,['general']
Найкращі країни світу для життя розмовляють німецькою/або діалектом німецької,['general']
